App,Category,Rating,Reviews,Size,Installs,Paid/Free,Price,Content Rating,Ad Supported,In App Purchases,Editors Choice
What Am I? - Brain Teasers,GAME,4.2,4537.0,15.0,100000.0,Free,0.0,Everyone,Yes,Yes,No
Piczle Lines DX,FAMILY,4.6,281.0,26.0,5000.0,Free,0.0,Everyone,No,Yes,No
Interactive CT and MRI Anatomy,MEDICAL,3.4,35.0,24.0,1000.0,Paid,15.46,Everyone,No,No,No
AXE.IO - Brutal Survival Battleground,GAME,4.2,3845.0,76.0,500000.0,Free,0.0,Everyone 10+,Yes,Yes,No
BBW Dating & Curvy Singles Chat- LargeFriends,Others,4.4,218.0,27.0,10000.0,Free,0.0,Mature 17+,No,Yes,No
H Band 2.0,HEALTH_AND_FITNESS,2.9,,89.0,500000.0,Free,0.0,Everyone,No,No,No
Card Thief,Others,4.2,22129.0,270.0,1000000.0,Free,0.0,Everyone,Yes,Yes,Yes
Gps Route Finder,Others,,652.0,34.0,100000.0,Free,0.0,Everyone,Yes,No,No
FL Lottery Results,FAMILY,4.6,1481.0,31.0,50000.0,Free,0.0,Teen,Yes,No,No
U Camera : Phone 6s OS 9 style,PHOTOGRAPHY,4.2,2158.0,30.0,500000.0,Free,0.0,Everyone,Yes,No,No
Sonic 4™ Episode I,GAME,3.7,8014.0,37.0,100000.0,Paid,2.99,Everyone,No,No,No
Female Daily,Others,3.9,4354.0,42.0,100000.0,Free,0.0,Teen,No,No,No
H TV,Others,4.3,103078.0,56.0,5000000.0,Free,0.0,Everyone,Yes,No,No
Adblock Plus for Samsung Internet - Browse safe.,COMMUNICATION,4.0,8769.0,21.0,1000000.0,Free,0.0,Everyone,No,No,No
Virtual Dice EX,GAME,4.3,40.0,36.0,5000.0,Free,0.0,Everyone,Yes,No,No
Lezhin Comics - Daily Releases,Others,3.0,28447.0,15.0,1000000.0,Free,0.0,Teen,No,Yes,No
Service Disabler,TOOLS,4.3,534.0,30.0,100000.0,Free,0.0,Everyone,Yes,Yes,No
Fishdom,Others,4.4,312204.0,270.0,19970000.0,Free,0.0,Everyone,Yes,Yes,Yes
Mad Skills BMX 2,GAME,4.5,29940.0,80.0,1000000.0,Free,0.0,Everyone,Yes,Yes,Yes
BN Pro LcdD Legacy Text,Others,3.9,71.0,0.412,10000.0,Free,0.0,Everyone,No,No,No
Learn To Draw Glow Flower,FAMILY,4.4,7320.0,10.0,1000000.0,Free,0.0,Everyone,Yes,Yes,No
Gold Wallpapers,PERSONALIZATION,4.5,43.0,28.0,10000.0,Free,0.0,Everyone,Yes,No,No
Jungle Marble Blast,GAME,4.3,18985.0,23.0,5000000.0,Free,0.0,Everyone,Yes,Yes,No
YouTube TV - Watch & Record Live TV,FAMILY,4.4,38517.0,17.0,1000000.0,Free,0.0,Teen,Yes,No,No
aa,FAMILY,4.2,312204.0,65.0,19970000.0,Free,0.0,Everyone,No,No,No
UNICORN - Color By Number & Pixel Art Coloring,Others,4.7,8145.0,24.0,500000.0,Free,0.0,Everyone,Yes,Yes,No
that's lit,GAME,4.7,1115.0,39.0,100000.0,Free,0.0,Everyone,Yes,No,No
The T Factor,Others,4.8,48.0,13.0,1000.0,Free,0.0,Everyone,No,No,No
No.Diamond – Colors by Number,FAMILY,4.6,9016.0,24.0,1000000.0,Free,0.0,Everyone,Yes,Yes,No
Co-op Connections,Others,1.6,8.0,18.0,1000.0,Free,0.0,Everyone,No,No,No
Accounting App - Zoho Books,BUSINESS,4.5,3079.0,85.0,100000.0,Free,0.0,Everyone,No,Yes,No
Offroad Pickup Truck F,FAMILY,4.3,4551.0,79.0,500000.0,Free,0.0,Everyone,Yes,Yes,No
RunDay – 30 minutes running PT,HEALTH_AND_FITNESS,4.7,12726.0,270.0,100000.0,Free,0.0,Everyone,Yes,Yes,Yes
Gormey: Find Best Restaurants,Others,4.3,34.0,76.0,1000.0,Free,0.0,Everyone,No,No,No
Zumper - Apartment Rental Finder,Others,4.4,11200.0,25.0,1000000.0,Free,0.0,Everyone,No,No,Yes
Comboios de Portugal,Others,3.4,1147.0,19.0,100000.0,Free,0.0,Everyone,No,No,No
Thai Sic Bo,GAME,4.1,14283.0,42.0,1000000.0,Free,0.0,Teen,Yes,No,No
DL Calculator,SPORTS,4.5,177.0,11.0,10000.0,Free,0.0,Everyone,No,No,No
db.Mobil App,Others,4.5,23.0,31.0,5000.0,Free,0.0,Everyone,No,No,No
2ndLine - Second Phone Number,COMMUNICATION,4.2,15880.0,32.0,1000000.0,Free,0.0,Everyone,Yes,Yes,No
BK Gold App,FINANCE,5.0,,11.0,50.0,Free,0.0,Everyone,No,No,No
Doll House Design & Decoration 2: Girls House Game,FAMILY,3.9,2338.0,45.0,100000.0,Free,0.0,Everyone,Yes,No,No
Cut the Rope GOLD,FAMILY,4.6,61264.0,43.0,1000000.0,Paid,0.99,Everyone,Yes,Yes,No
Apartment Decorating Ideas,Others,3.9,1478.0,57.0,100000.0,Free,0.0,Everyone,Yes,No,No
Rivals at War: Firefight,GAME,4.4,312204.0,51.0,5000000.0,Free,0.0,Teen,Yes,Yes,No
Bank of America Mobile Banking,FINANCE,4.4,312204.0,53.0,10000000.0,Free,0.0,Everyone,No,No,No
Bathroom Decorating Ideas,Others,4.1,2427.0,53.0,500000.0,Free,0.0,Everyone,Yes,No,No
R Programming Language,FAMILY,3.8,39.0,29.0,1000.0,Free,0.0,Everyone,Yes,No,No
Gainesville Florida Police Department,LIFESTYLE,4.8,4.0,15.0,500.0,Free,0.0,Everyone,No,No,No
Bubbu – My Virtual Pet,FAMILY,4.7,312204.0,75.0,10000000.0,Free,0.0,Everyone,Yes,Yes,No
DB Train Simulator,FAMILY,3.7,6514.0,72.0,500000.0,Free,0.0,Everyone,No,No,No
Moto Rider,GAME,4.2,115176.0,24.0,10000000.0,Free,0.0,Teen,Yes,No,No
"Gametime - Tickets to Sports, Concerts, Theater",Others,4.5,8800.0,24.0,1000000.0,Free,0.0,Everyone,No,No,No
Need for Speed™ No Limits,GAME,4.4,312204.0,22.0,19970000.0,Free,0.0,Everyone 10+,No,Yes,Yes
Sverige Tidningar,Others,4.1,905.0,40.0,50000.0,Free,0.0,Everyone,Yes,No,No
English Conversation Courses,FAMILY,4.6,22165.0,68.0,1000000.0,Free,0.0,Everyone,Yes,Yes,No
Moto Photo Editor,PHOTOGRAPHY,3.3,3492.0,17.0,5000000.0,Free,0.0,Everyone,No,No,No
Cursive Writing Wizard - Handwriting,FAMILY,4.0,3745.0,31.0,1000000.0,Free,0.0,Everyone,No,Yes,No
Lollipop Launcher Plus,PERSONALIZATION,4.1,131.0,0.027,1000.0,Paid,4.99,Everyone,No,No,No
Huntington Mobile,FINANCE,4.2,11264.0,24.0,1000000.0,Free,0.0,Everyone,No,No,No
BZ Fingers,GAME,4.6,15.0,32.0,50.0,Free,0.0,Everyone,Yes,No,No
Dr. Chess,GAME,4.1,97209.0,67.0,1000000.0,Free,0.0,Everyone,Yes,No,No
BZ Reminder,BUSINESS,4.7,41625.0,54.0,1000000.0,Free,0.0,Everyone,Yes,Yes,No
Merge Safari - Fantastic Animal Isle,Others,4.3,17691.0,270.0,1000000.0,Free,0.0,Everyone,Yes,Yes,Yes
Basketball Stars,SPORTS,4.4,312204.0,45.0,10000000.0,Free,0.0,Everyone,Yes,Yes,No
"YouCut - Video Editor & Video Maker, No Watermark",Others,4.6,98819.0,27.0,5000000.0,Free,0.0,Everyone,Yes,Yes,No
Standoff 2,GAME,4.5,299046.0,47.0,10000000.0,Free,0.0,Mature 17+,Yes,Yes,No
Florence,Others,4.7,12985.0,270.0,100000.0,Paid,2.99,Everyone,No,No,Yes
Chess for Kids - Play & Learn,FAMILY,4.1,3234.0,47.0,100000.0,Free,0.0,Everyone,No,Yes,No
Calendar+ Schedule Planner App,PRODUCTIVITY,,8985.0,57.0,1000000.0,Free,0.0,Everyone,Yes,Yes,No
Truck Driver Cargo,GAME,4.1,257531.0,44.0,10000000.0,Free,0.0,Everyone 10+,Yes,No,No
Candy simply-Fi,LIFESTYLE,2.1,2390.0,35.0,100000.0,Free,0.0,Everyone,No,No,No
JackThreads: Men's Shopping,Others,4.0,13085.0,27.0,1000000.0,Free,0.0,Teen,Yes,No,No
The Home Depot,Others,4.3,44071.0,56.0,5000000.0,Free,0.0,Everyone,No,No,No
Pocket: Save. Read. Grow.,Others,4.7,291412.0,270.0,10000000.0,Free,0.0,Everyone,No,Yes,Yes
Nursing Central,MEDICAL,4.3,168.0,58.0,10000.0,Free,0.0,Everyone,No,Yes,No
"Ginger Keyboard - Emoji, GIFs, Themes & Games",PRODUCTIVITY,4.4,162831.0,43.0,5000000.0,Free,0.0,Everyone,Yes,Yes,No
Bullet Force,GAME,4.5,312204.0,58.0,10000000.0,Free,0.0,Teen,No,Yes,No
Gas Station,Others,4.0,1288.0,45.0,100000.0,Free,0.0,Everyone,Yes,Yes,No
Roll Call News,Others,3.7,24.0,10.0,5000.0,Free,0.0,Everyone,Yes,No,No
Dr. Dominoes,GAME,4.0,2700.0,57.0,500000.0,Free,0.0,Everyone,Yes,No,No
30 Day Ab Challenge,HEALTH_AND_FITNESS,4.5,1886.0,76.0,500000.0,Free,0.0,Everyone,Yes,Yes,No
FINAL FANTASY V,FAMILY,4.5,15924.0,42.0,100000.0,Paid,7.99,Teen,No,No,No
"Trello: Organize anything with anyone, anywhere!",PRODUCTIVITY,4.5,103400.0,270.0,10000000.0,Free,0.0,Everyone,No,No,Yes
Fishing Superstars,SPORTS,4.2,298866.0,270.0,10000000.0,Free,0.0,Everyone,Yes,Yes,Yes
DC Public Library,BOOKS_AND_REFERENCE,4.2,20.0,34.0,1000.0,Free,0.0,Everyone,No,No,No
우리의식탁 - 요리를 스타일하다,Others,4.3,1996.0,270.0,500000.0,Free,0.0,Everyone,No,No,Yes
Amino: Communities and Chats,Others,4.8,312204.0,62.0,10000000.0,Free,0.0,Teen,Yes,Yes,No
Sydney FC Official App,SPORTS,4.6,57.0,17.0,5000.0,Free,0.0,Everyone,Yes,No,No
Toddler Kids Puzzles PUZZINGO,FAMILY,4.6,,60.0,1000000.0,Free,0.0,Everyone,No,Yes,No
Fish|Hunt FL,LIFESTYLE,3.6,853.0,34.0,100000.0,Free,0.0,Everyone,No,No,No
Offroad Car G,FAMILY,4.3,64884.0,37.0,5000000.0,Free,0.0,Everyone,Yes,No,No
OXENFREE,Others,4.1,1800.0,270.0,10000.0,Paid,4.99,Teen,No,No,Yes
Grenada Co-operative Bank,FINANCE,4.4,137.0,0.4,10000.0,Free,0.0,Everyone,No,No,No
DIRECTV for Tablets,FAMILY,3.9,24123.0,69.0,1000000.0,Free,0.0,Teen,Yes,No,No
Audio Murli Glossary For BK,FAMILY,4.7,39.0,20.0,1000.0,Free,0.0,Everyone,No,No,No
WhatsApp Business,COMMUNICATION,4.4,136662.0,32.0,10000000.0,Free,0.0,Everyone,No,No,No
MyMTN,PRODUCTIVITY,4.0,8550.0,15.0,1000000.0,Free,0.0,Everyone,Yes,No,No
Messenger Lite: Free Calls & Messages,COMMUNICATION,3.9,312204.0,270.0,19970000.0,Free,0.0,Everyone,No,No,Yes
Diabetes & Diet Tracker,MEDICAL,4.6,395.0,19.0,1000.0,Paid,9.99,Everyone,No,No,No
Bridge Constructor Portal,Others,4.4,13517.0,270.0,500000.0,Paid,4.99,Everyone 10+,No,Yes,Yes
"AllTrails: Hiking, Running & Mountain Bike Trails",HEALTH_AND_FITNESS,4.3,16943.0,32.0,1000000.0,Free,0.0,Everyone,Yes,Yes,Yes
Raytheon F-16 EW 360 VR,FAMILY,4.5,6.0,22.0,500.0,Free,0.0,Everyone,No,No,No
FP Charging Daydream,PERSONALIZATION,3.5,96.0,38.0,5000.0,Free,0.0,Everyone,No,No,No
BTS J-Hope Wallpaper KPOP Fans HD,PERSONALIZATION,4.7,98.0,34.0,10000.0,Free,0.0,Everyone,Yes,No,No
Fortune City - A Finance App,FINANCE,4.6,49275.0,91.0,500000.0,Free,0.0,Everyone,Yes,Yes,Yes
Hello Kitty Nail Salon,GAME,4.2,312204.0,24.0,19970000.0,Free,0.0,Everyone,Yes,Yes,No
Microsoft Power BI–Business data analytics,BUSINESS,4.5,1819.0,10.0,100000.0,Free,0.0,Everyone,No,No,No
Magana Jari ce Littafi Na Uku : Part 3 of 3,FAMILY,4.8,65.0,55.0,5000.0,Free,0.0,Everyone,Yes,No,No
DV Lottery Simulator,FAMILY,4.6,13.0,13.0,1000.0,Free,0.0,Everyone,No,No,No
Dr. B.R.Ambedkar,Others,4.8,1902.0,52.0,100000.0,Free,0.0,Everyone,No,No,No
DC Metro Transit - Free,Others,4.4,6895.0,10.0,500000.0,Free,0.0,Everyone,Yes,No,No
BLACKJACK!,GAME,4.4,312204.0,33.0,10000000.0,Free,0.0,Teen,Yes,Yes,No
그린카 – 이동을 새로 그리다,Others,2.9,14699.0,270.0,1000000.0,Free,0.0,Everyone,Yes,No,Yes
MakeupPlus - Your Own Virtual Makeup Artist,PHOTOGRAPHY,4.4,312204.0,53.0,19970000.0,Free,0.0,Everyone,Yes,No,No
Seekers Notes: Hidden Mystery,Others,4.3,312204.0,270.0,10000000.0,Free,0.0,Everyone,Yes,Yes,Yes
Forest: Stay focused,PRODUCTIVITY,4.7,312204.0,270.0,10000000.0,Free,0.0,Everyone,Yes,Yes,Yes
CT-Guide & Positioning,FAMILY,3.7,6.0,78.0,1000.0,Free,0.0,Everyone,Yes,No,No
Kymco AK 550,Others,4.3,47.0,58.0,1000.0,Free,0.0,Everyone,No,No,No
EY India Tax Insights,BUSINESS,4.7,87.0,51.0,10000.0,Free,0.0,Everyone,No,No,No
DR.MEEP,FAMILY,4.4,54.0,33.0,500.0,Paid,2.99,Everyone,No,No,No
Age of Procreation DX,FAMILY,4.3,,40.0,100000.0,Free,0.0,Mature 17+,Yes,Yes,No
Citizens Bank Mobile Banking,FINANCE,4.1,,38.0,1000000.0,Free,0.0,Everyone,No,No,No
Web Browser,COMMUNICATION,4.2,10965.0,23.0,500000.0,Free,0.0,Everyone,Yes,No,No
Google Analytics,BUSINESS,4.5,78662.0,22.0,1000000.0,Free,0.0,Everyone,No,No,No
"Cash, Inc. Money Clicker Game & Business Adventure",GAME,4.8,,85.0,10000000.0,Free,0.0,Everyone,Yes,Yes,Yes
Yahoo奇摩新聞 - 即時重要資訊、議題懶人卡,Others,4.0,34394.0,270.0,1000000.0,Free,0.0,Everyone,Yes,No,Yes
NOOK Audiobooks,BOOKS_AND_REFERENCE,3.5,2539.0,86.0,500000.0,Free,0.0,Everyone,No,No,No
Lara Croft GO,Others,4.6,95121.0,270.0,1000000.0,Paid,5.99,Everyone,No,Yes,Yes
Check Lottery Tickets - Florida,FAMILY,2.0,27.0,31.0,5000.0,Free,0.0,Teen,Yes,No,No
SA HLA BU,BOOKS_AND_REFERENCE,4.7,119.0,15.0,1000.0,Free,0.0,Everyone,No,No,No
Reigns: Her Majesty,Others,4.7,23350.0,270.0,100000.0,Paid,2.99,Teen,No,No,Yes
Girly Wallpapers Backgrounds,LIFESTYLE,4.4,13565.0,33.0,1000000.0,Free,0.0,Everyone,Yes,No,No
Dr. Sudoku,FAMILY,3.5,2310.0,31.0,500000.0,Free,0.0,Everyone,Yes,No,No
British Airways,Others,4.2,25740.0,51.0,1000000.0,Free,0.0,Everyone,No,No,No
Four In A Line,GAME,3.8,22191.0,30.0,1000000.0,Free,0.0,Everyone,Yes,No,No
Morse Machine for Ham Radio,COMMUNICATION,4.8,341.0,96.0,5000.0,Paid,0.99,Everyone,No,No,No
Florida State Gameday,SPORTS,4.7,1566.0,26.0,50000.0,Free,0.0,Everyone,Yes,No,No
W Box VMS,Others,1.9,105.0,91.0,10000.0,Free,0.0,Everyone,No,No,No
LOCARI（ロカリ） - オトナ女子向けライフスタイル情報アプリ,Others,4.4,9824.0,270.0,1000000.0,Free,0.0,Everyone,Yes,No,Yes
EZ-GUI Ground Station,TOOLS,4.7,3696.0,29.0,50000.0,Free,0.0,Everyone,Yes,No,No
Call Recorder,Others,4.7,48.0,69.0,1000.0,Free,0.0,Everyone,Yes,No,No
"Meitu – Beauty Cam, Easy Photo Editor",PHOTOGRAPHY,4.5,312204.0,45.0,10000000.0,Free,0.0,Everyone,No,Yes,No
Stack Jump,GAME,4.3,118253.0,40.0,10000000.0,Free,0.0,Teen,Yes,Yes,No
브런치 - 좋은 글과 작가를 만나는 공간,Others,3.9,3556.0,270.0,1000000.0,Free,0.0,Teen,No,No,Yes
BURST Professionals,MEDICAL,4.5,11.0,25.0,1000.0,Free,0.0,Everyone,No,No,No
DC-014,PHOTOGRAPHY,5.0,3.0,16.0,500.0,Free,0.0,Everyone,No,No,No
Urban Fisherman M,SPORTS,4.3,10801.0,270.0,500000.0,Free,0.0,Everyone,Yes,Yes,Yes
CX-OF,FAMILY,4.2,18.0,37.0,1000.0,Free,0.0,Everyone,No,No,No
Skater Boy,GAME,4.3,312204.0,12.0,19970000.0,Free,0.0,Everyone,Yes,No,No
Alchemy Classic Ad Free,FAMILY,,20178.0,90.0,100000.0,Free,0.0,Everyone,No,Yes,No
Transformers Rescue Bots: Hero Adventures,FAMILY,4.2,41273.0,16.0,5000000.0,Free,0.0,Everyone,Yes,Yes,No
BD All Results,FAMILY,4.1,205.0,73.0,50000.0,Free,0.0,Everyone,Yes,No,No
Black White Interracial Dating - Interracial Match,Others,4.1,535.0,28.0,100000.0,Free,0.0,Mature 17+,No,Yes,No
"Today Weather - Widget, Forecast, Radar & Alert",Others,4.3,75602.0,270.0,1000000.0,Free,0.0,Everyone,Yes,Yes,Yes
Blagues et Histoires Drôles,FAMILY,3.9,859.0,53.0,100000.0,Free,0.0,Teen,Yes,No,No
Bestie - Camera360 Selfie,PHOTOGRAPHY,4.5,312204.0,23.0,10000000.0,Free,0.0,Everyone,Yes,No,No
Hypertension Hi blood pressure,MEDICAL,3.8,292.0,27.0,100000.0,Free,0.0,Everyone,Yes,No,No
EB Mobile,FAMILY,1.7,1172.0,56.0,10000.0,Free,0.0,Everyone,No,No,No
Injustice: Gods Among Us,GAME,4.4,312204.0,32.0,10000000.0,Free,0.0,Teen,No,Yes,No
Music Maker JAM - Song & Beatmaker app,Others,4.5,312204.0,270.0,10000000.0,Free,0.0,Everyone,Yes,Yes,Yes
"Movies by Flixster, with Rotten Tomatoes",Others,4.5,,16.0,10000000.0,Free,0.0,Everyone,Yes,No,No
Adobe Photoshop Sketch,Others,4.1,37613.0,270.0,5000000.0,Free,0.0,Everyone,No,No,Yes
FC Bayern Munich,SPORTS,4.6,37140.0,71.0,1000000.0,Free,0.0,Everyone,No,No,No
TASOKARE HOTEL,Others,4.8,10961.0,270.0,100000.0,Free,0.0,Teen,Yes,Yes,Yes
G-Switch,GAME,,4116.0,88.0,100000.0,Free,0.0,Everyone,Yes,No,No
Fun Texas Hold'em Poker,GAME,4.5,32831.0,24.0,500000.0,Free,0.0,Teen,Yes,Yes,No
Ax 3 Domaines,SPORTS,4.5,12.0,23.0,1000.0,Free,0.0,Everyone,Yes,No,No
NHL,SPORTS,4.0,68935.0,48.0,5000000.0,Free,0.0,Everyone,Yes,Yes,No
Easy Drawing: How to draw Step by Step,LIFESTYLE,4.4,77344.0,270.0,10000000.0,Free,0.0,Everyone,Yes,Yes,Yes
InterracialCupid - Interracial Dating App,Others,3.4,212.0,30.0,50000.0,Free,0.0,Mature 17+,No,Yes,No
Flight Simulator: Fly Plane 3D,FAMILY,4.0,312204.0,21.0,19970000.0,Free,0.0,Everyone,Yes,No,No
Sat-Fi Voice,COMMUNICATION,3.4,37.0,14.0,1000.0,Free,0.0,Everyone,No,No,No
Into the Dead 2: Zombie Survival,Others,4.5,312204.0,270.0,10000000.0,Free,0.0,Mature 17+,Yes,Yes,Yes
Primitive Brothers : Endless Evolution,Others,4.5,124576.0,270.0,1000000.0,Free,0.0,Teen,Yes,Yes,Yes
Knights Chronicle,Others,4.3,114874.0,270.0,1000000.0,Free,0.0,Teen,Yes,Yes,Yes
RollerCoaster Tycoon® Classic,GAME,4.6,10795.0,69.0,100000.0,Paid,5.99,Everyone,No,Yes,No
Sai Baba - Sabka Malik Ek,PRODUCTIVITY,4.9,42.0,38.0,1000.0,Free,0.0,Everyone,No,No,No
Peppa Pig: Party Time,FAMILY,3.8,52.0,55.0,10000.0,Paid,2.99,Everyone,No,No,No
Dr. Parker : Real car parking simulation,GAME,,15829.0,95.0,1000000.0,Free,0.0,Everyone,Yes,Yes,No
マンガほっと - 人気・名作マンガが毎日読める漫画アプリ,Others,3.5,3574.0,270.0,500000.0,Free,0.0,Mature 17+,Yes,Yes,Yes
M star Dialer,COMMUNICATION,3.5,400.0,42.0,100000.0,Free,0.0,Everyone,No,No,No
Banana Kong,GAME,4.4,312204.0,68.0,19970000.0,Free,0.0,Everyone,Yes,Yes,No
Reminder,Others,4.5,7074.0,63.0,500000.0,Free,0.0,Everyone,No,No,No
"KKBOX - Music and podcasts, anytime, anywhere!",Others,4.2,312204.0,270.0,10000000.0,Free,0.0,Teen,Yes,Yes,Yes
HumorCast - Authentic Weather,Others,4.4,6495.0,40.0,100000.0,Free,0.0,Teen,Yes,Yes,No
CT Scan Viewer 3D,MEDICAL,4.2,6.0,29.0,1000.0,Free,0.0,Everyone,No,No,No
Strike! Ten Pin Bowling,SPORTS,4.2,18584.0,49.0,5000000.0,Free,0.0,Everyone,Yes,Yes,No
WDAMAGE: Car Crash Engine,GAME,3.8,47386.0,96.0,1000000.0,Free,0.0,Everyone,Yes,Yes,No
Heavy Bus Simulator,FAMILY,4.4,252006.0,26.0,5000000.0,Free,0.0,Everyone,Yes,No,No
RoboPad++,FAMILY,4.4,77.0,10.0,10000.0,Free,0.0,Everyone,No,No,No
DH Pineapple Poker OFC,GAME,4.2,1878.0,20.0,100000.0,Free,0.0,Teen,Yes,Yes,No
Fit the Fat 2,SPORTS,3.8,35746.0,55.0,5000000.0,Free,0.0,Everyone,Yes,Yes,No
"AE + Aerie: Jeans, Dresses, Swimsuits & Bralettes",Others,4.2,20476.0,28.0,1000000.0,Free,0.0,Everyone,No,No,No
ArtFlow: Paint Draw Sketchbook,Others,3.7,31201.0,270.0,1000000.0,Free,0.0,Everyone,Yes,Yes,Yes
Quadratic Equation Solver with Steps and Graphs,FAMILY,4.7,513.0,98.0,50000.0,Free,0.0,Everyone,Yes,No,No
Photo Effects Pro,PHOTOGRAPHY,4.4,312204.0,21.0,19970000.0,Free,0.0,Everyone,Yes,Yes,No
Funny Ringtones,PERSONALIZATION,4.4,7146.0,14.0,1000000.0,Free,0.0,Everyone 10+,Yes,No,No
Light X - Icon Pack,PERSONALIZATION,4.6,252.0,24.0,10000.0,Paid,0.99,Everyone,No,No,No
Faraway: Puzzle Escape,Others,4.3,52591.0,270.0,1000000.0,Free,0.0,Everyone,Yes,Yes,Yes
Please Don't Touch Anything 3D,FAMILY,4.2,146.0,20.0,5000.0,Paid,5.99,Teen,No,No,No
RPG Toram Online - MMORPG,Others,4.5,312204.0,270.0,10000000.0,Free,0.0,Teen,No,Yes,Yes
DM for WhatsApp,COMMUNICATION,4.4,25.0,29.0,5000.0,Free,0.0,Everyone,Yes,No,No
Teenage Chat & Dating,Others,3.4,5.0,14.0,500.0,Free,0.0,Mature 17+,Yes,No,No
"WeatherClear - Ad-free Weather, Minute forecast",Others,4.5,3252.0,38.0,50000.0,Free,0.0,Everyone,No,No,No
Fat No More - Be the Biggest Loser in the Gym!,FAMILY,3.8,48545.0,38.0,1000000.0,Free,0.0,Everyone,Yes,Yes,No
Greeting Cards & Wishes,Others,4.5,17350.0,12.0,500000.0,Free,0.0,Everyone,Yes,Yes,No
Atlanta United FC,SPORTS,3.7,215.0,76.0,10000.0,Free,0.0,Everyone,No,No,No
Cytus II,GAME,4.7,16851.0,81.0,100000.0,Paid,1.99,Everyone 10+,No,Yes,Yes
Learn R Language Easy Way,FAMILY,4.1,17.0,22.0,10000.0,Free,0.0,Everyone,Yes,No,No
My Talking Hank,Others,4.3,312204.0,270.0,19970000.0,Free,0.0,Everyone,Yes,Yes,Yes
Nasty Goats,FAMILY,4.3,45579.0,64.0,1000000.0,Free,0.0,Everyone,No,No,No
Unroll Me 2,Others,4.0,5162.0,270.0,1000000.0,Free,0.0,Everyone,Yes,Yes,Yes
HD Video Player,Others,,1551.0,29.0,1000000.0,Free,0.0,Everyone,Yes,No,No
Cy-Fair FCU Mobile Banking,FINANCE,4.7,439.0,13.0,5000.0,Free,0.0,Everyone,No,No,No
detikcom - Berita Terbaru & Terlengkap,Others,4.2,291018.0,270.0,10000000.0,Free,0.0,Teen,Yes,No,Yes
CA Auth ID,TOOLS,3.8,39.0,0.375,10000.0,Free,0.0,Teen,No,No,No
HTC Sense Input - ES,TOOLS,4.3,3509.0,65.0,1000000.0,Free,0.0,Everyone,No,No,No
Baby Sleep - White Noise,HEALTH_AND_FITNESS,4.6,39319.0,270.0,1000000.0,Free,0.0,Everyone,Yes,Yes,Yes
Hotels Combined - Cheap deals,Others,4.1,17202.0,12.0,5000000.0,Free,0.0,Everyone,Yes,No,No
Add-On: Alcatel (h),PRODUCTIVITY,,107.0,12.0,50000.0,Free,0.0,Everyone,No,No,No
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269.0,61.0,1000000.0,Free,0.0,Everyone,Yes,No,No
Kids A-Z,FAMILY,4.2,26426.0,30.0,1000000.0,Free,0.0,Everyone,No,No,No
BYJU'S – The Learning App,Others,4.2,312204.0,270.0,19970000.0,Free,0.0,Everyone,No,No,Yes
Honkai Impact 3rd,GAME,4.7,59017.0,82.0,1000000.0,Free,0.0,Teen,No,Yes,No
Nordstrom,Others,4.6,2278.0,12.0,500000.0,Free,0.0,Everyone,No,No,No
Elmo Calls by Sesame Street,FAMILY,3.9,6903.0,25.0,1000000.0,Free,0.0,Everyone,No,Yes,No
FVD Ad-Free,TOOLS,4.4,1774.0,41.0,10000.0,Paid,1.99,Everyone,No,No,No
CBRadioTab,TOOLS,3.9,127.0,15.0,50000.0,Free,0.0,Everyone,Yes,No,No
BV Sridhara Maharaj,FAMILY,5.0,8.0,27.0,100.0,Free,0.0,Everyone,No,No,No
Artificial Intelligence,FAMILY,3.9,339.0,42.0,50000.0,Free,0.0,Everyone,No,No,No
Idle Courier Tycoon - 3D Business Manager,Others,4.4,104776.0,270.0,5000000.0,Free,0.0,Everyone,Yes,Yes,Yes
Best Car Wallpapers,Others,4.5,994.0,29.0,100000.0,Free,0.0,Everyone,Yes,No,No
Best Western e-Concierge Hotel,Others,4.0,41.0,23.0,10000.0,Free,0.0,Everyone,No,No,No
Co Checker,TOOLS,1.9,12.0,20.0,1000.0,Free,0.0,Everyone,No,No,No
B-Messenger Video Chat,Others,4.1,12495.0,19.0,1000000.0,Free,0.0,Mature 17+,Yes,Yes,No
Amazon Prime Video,Others,4.2,312204.0,24.0,19970000.0,Free,0.0,Teen,Yes,Yes,No
BkEmu - BK-0010/11M emulator,FAMILY,,222.0,14.0,10000.0,Free,0.0,Everyone,No,No,No
Yummly Recipes & Cooking Tools,Others,4.5,66772.0,270.0,5000000.0,Free,0.0,Everyone,No,Yes,Yes
CB On Mobile,COMMUNICATION,4.1,901.0,0.323,100000.0,Free,0.0,Teen,Yes,No,No
AT&T Smart Wi-Fi,TOOLS,3.9,18513.0,61.0,10000000.0,Free,0.0,Everyone,No,No,No
Büfe BU,LIFESTYLE,4.1,14.0,13.0,100.0,Free,0.0,Everyone,No,No,No
AP Calculus BC: Practice Tests and Flashcards,FAMILY,3.6,5.0,54.0,1000.0,Free,0.0,Everyone,No,No,No
CP Clicker,LIFESTYLE,4.2,251.0,50.0,10000.0,Free,0.0,Everyone,No,No,No
Clue,GAME,4.6,19922.0,35.0,100000.0,Paid,1.99,Everyone 10+,No,No,No
